name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors,domestic_revenue,international_revenue,worldwide_revenue,budget
Blue Giant,100,100,99,"['Drama', 'Music', 'Anime']",,2h 0m,2023,"['Yuki Yamada', 'Shôtarô Mamiya', 'Amane Okayama', 'Yuzuru Tachikawa', 'Shinichi Ishizuka']",['Yuzuru Tachikawa'],132555,0,132555,0
Hunted,56,48,53,"['Action', 'Mystery & Thriller']",R,1h 34m,2022,"['Samantha Bond', 'Malachi Pullar-Latchman', 'James Lance', 'Hannah Traylen', 'Nick Moran']",['Tommy Boulding'],100345,1843942,1944287,0
DamNation,50,80,59,"['Documentary', 'Adventure']",,1h 27m,2014,"['Ben Knight', 'Yvon Chouinard', 'Katie Lee', 'Bruce Babbitt', 'Mikal Jakubal']","['Ben Knight 2', 'Travis Rummel']",35014192,6083661,41097853,8000000
Another Kind of Wedding,60,50,56,"['Comedy', 'Drama']",,1h 26m,2017,"['Kathleen Turner', 'Kevin Zegers', 'Jessica Paré', 'Frances Fisher', 'Jacob Tierney']",['Pat Kiely'],101648571,135553728,237202299,90000000
Windtalkers,33,50,38,"['War', 'History', 'Drama']",R,2h 14m,2002,"['Nicolas Cage', 'Adam Beach', 'Peter Stormare', 'Noah Emmerich', 'Mark Ruffalo']",['John Woo'],12227722,15744301,27972023,0
Cold Mountain,70,77,72,"['Drama', 'War']",R,2h 35m,2003,"['Jude Law', 'Nicole Kidman', 'Renée Zellweger', 'Eileen Atkins', 'Brendan Gleeson']",['Anthony Minghella'],2540965,166872,2707837,0
Len and Company,70,56,65,"['Comedy', 'Drama']",,1h 42m,2015,"['Rhys Ifans', 'Jack Kilmer', 'Juno Temple', 'Keir Gilchrist', 'Kathryn Hahn']",['Tim Godsall 2'],2540965,166872,2707837,0
Dead Man Walking,95,85,91,"['Crime', 'Drama']",R,2h 2m,1995,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry', 'R. Lee Ermey']",['Tim Robbins'],7362439,1940583,9303022,0
Native Son,62,49,57,['Drama'],,1h 48m,2019,"['Ashton Sanders', 'Margaret Qualley', 'Nick Robinson', 'Sanaa Lathan', 'KiKi Layne']",['Rashid Johnson'],115000000,889,115000889,0
Stuck,52,83,62,"['Musical', 'Drama']",PG-13,1h 30m,2017,"['Giancarlo Esposito', 'Amy Madigan', 'Ashanti', 'Arden Cho', 'Omar Chaparro']",['Michael Berry 2'],125164,0,125164,0
Man vs Snake: The Long and Twisted Tale of Nibbler,90,76,85,['Documentary'],,1h 32m,2015,"['Walter Day', 'Dwayne Richard', 'Billy Mitchell', 'Tim Kinzy', 'Andrew Seklir']","['Tim Kinzy', 'Andrew Seklir 2']",7362439,1940583,9303022,0
The Devil You Know,36,82,51,"['Crime', 'Drama', 'Mystery & Thriller']",R,1h 56m,2022,"['Omar Epps', 'Michael Ealy', 'William Catlett', 'Glynn Turman', 'Curtiss Cook']",['Charles Murray 2'],0,0,0,0
The Pack,55,20,43,"['Horror', 'Mystery & Thriller']",,1h 30m,2015,"['Anna Lise Phillips', 'Jack Campbell', 'Katie Moore', 'Hamish Phillips', 'Charles Mayer']",['Nick Robertson 2'],56732,0,56732,0
The Offering,74,48,65,"['Horror', 'Mystery & Thriller']",R,1h 33m,2022,"['Nick Blood', 'Emily Wiseman', 'Allan Corduner', 'Paul Kaye', 'Daniel Ben Zenou']",['Oliver Park'],95697,0,95697,0
The Kindness of Strangers,31,85,49,['Drama'],,1h 52m,2019,"['Jay Baruchel', 'Zoe Kazan', 'Andrea Riseborough', 'Bill Nighy', 'Caleb Landry Jones']",['Lone Scherfig'],100345,1843942,1944287,0
Dead Man on Campus,15,55,28,['Comedy'],R,1h 33m,1998,"['Tom Everett Scott', 'Mark-Paul Gosselaar', 'Poppy Montgomery', 'Lochlyn Munro', 'Randy Pearlstein']",['Alan Cohn'],157299718,139039810,296339528,75000000
Standby,80,31,63,"['Romance', 'Comedy']",,1h 30m,2014,"['Jessica Paré', 'Brian Gleeson', 'Stanley Townsend', 'Francesca Cherruault', 'John Lynn']","['Rob Burke', 'Ronan Burke']",0,0,0,0
The Fight Within,40,79,53,['Drama'],PG-13,1h 34m,2016,"['John Major Davis', 'Lelia Symington', 'Matt Leddo', 'Mike H. Taylor', 'Dan Severn']",['Michael William Gordon'],67544505,20670651,88215156,35000000
All Things Must Pass,94,82,90,['Documentary'],,1h 40m,2015,"['Chuck D', 'Chris Cornell', 'David Geffen', 'Dave Grohl', 'Elton John']",['Colin Hanks'],673151,101629,774780,0
Ghostbusters: Afterlife,64,94,74,"['Comedy', 'Fantasy', 'Adventure']",PG-13,2h 4m,2021,"['Carrie Coon', 'Finn Wolfhard', 'Mckenna Grace', 'Paul Rudd', ""Celeste O'Connor""]",['Jason Reitman'],470308,0,470308,0
The Persian Version,82,90,84,"['Comedy', 'Drama', 'LGBTQ+', 'Romance']",R,1h 47m,2023,"['Layla Mohammadi', 'Niousha Noor', 'Kamand Shafieisabet', 'Bijan Daneshmand', 'Bella Warda']",['Maryam Keshavarz'],829,0,829,0
Hara-Kiri: Death of a Samurai,77,75,76,"['History', 'Drama']",,2h 6m,2011,"['Ebizô Ichikawa', 'Eita Nagayama', 'Hikari Mitsushima', 'Naoto Takenaka', 'Munetaka Aoki']",['Takashi Miike'],157066392,281900000,438966392,0
Amnesiac,27,14,22,['Mystery & Thriller'],,1h 24m,2014,"['Kate Bosworth', 'Wes Bentley', 'Olivia Rose Keegan', 'Shashawnee Hall', 'Richard Riehle']",['Mike Polish'],76808654,85846697,162655351,30000000
Long Story Short,53,63,56,"['Romance', 'Comedy', 'Fantasy']",R,1h 35m,2021,"['Rafe Spall', 'Zahra Newman', 'Ronny Chieng', 'Dena Kaplan', 'Noni Hazlehurst']",['Josh Lawson'],315497,0,315497,0
Tab Hunter Confidential,88,96,90,"['Documentary', 'LGBTQ+']",,1h 30m,2015,"['Tab Hunter', 'Jeffrey Schwarz', 'Allan Glaser', 'Neil Koenigsberg', 'Jeffrey Schwarz']",['Jeffrey Schwarz'],13110903,0,13110903,0
Jacqueline Argentine,29,70,42,['Mystery & Thriller'],,1h 27m,2016,"['Martin Anderson', 'James Benson', 'Wyatt Cenac', 'Sasha Dominy', 'Amr El-Bayoumi']",['Bernardo Britto'],429028,0,429028,5000000
Absolution,20,81,40,['Fantasy'],,1h 30m,2018,"['Jessica Falkholt', 'Eamon Farren', 'Jacqueline McKenzie', 'Jerome Meyer', 'Lewis Fitz-Gerald']",['Corey Pearson 2'],160942139,271028977,431971116,142000000
Ford v Ferrari,92,98,94,"['History', 'Drama', 'Biography']",PG-13,2h 32m,2019,"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitriona Balfe', 'Tracy Letts']",['James Mangold'],50410,0,50410,0
Hands of Stone,44,52,46,"['Biography', 'History', 'Drama']",R,1h 45m,2016,"['Edgar Ramírez', 'Robert De Niro', 'Ana de Armas', 'Usher', 'Rubén Blades']",['Jonathan Jakubowicz'],39768000,0,39768000,0
What Comes Around,30,35,31,"['Mystery & Thriller', 'Romance', 'Drama']",,1h 23m,2022,"['Grace Van Dien', 'Summer Phoenix', 'Jesse Garcia', 'Kyle Gallner', 'Indiana Affleck']",['Amy Redford'],57231747,39223950,96455697,37000000
Mortal Kombat Legends: Snow Blind,80,87,82,"['Action', 'Adventure', 'Animation']",R,1h 22m,2022,"['Manny Jacinto', 'David Wenham', 'Patrick Seitz', 'Artt Butler', 'Debra Wilson']",['Rick Morales 2'],0,0,0,0
Like It Is,11,46,22,['Drama'],,1h 40m,1998,"['Roger Daltrey', 'Dani Behr', 'Ian Rose', 'Steve Bell', 'Christopher Hargreaves']",['Paul Oremland'],183417150,267300000,450717150,85000000
Being Mary Tyler Moore,97,74,89,"['Documentary', 'Biography']",,1h 59m,2023,"['Mary Tyler Moore', 'James L. Brooks', 'Rob Reiner', 'Treva Silverman', 'Beverly Sanders']",['James Adolphus'],340726,0,340726,0
The Librarian: Quest for the Spear,60,57,59,"['Action', 'Adventure', 'Fantasy']",TVPG,1h 36m,2004,"['Noah Wyle', 'Kyle MacLachlan', 'Sonya Walger', 'Jane Curtin', 'Kelly Hu']",['Peter Winther'],101648571,135553728,237202299,90000000
Dog Park,36,28,33,"['Romance', 'Comedy']",R,1h 31m,1998,"['Natasha Henstridge', 'Luke Wilson', 'Kathleen Robertson', 'Janeane Garofalo', 'Bruce McCulloch']",['Bruce Mcculloch'],0,0,0,0
Point Break,11,29,17,"['Action', 'Adventure', 'Mystery & Thriller']",PG-13,1h 49m,2015,"['Edgar Ramírez', 'Luke Bracey', 'Ray Winstone', 'Teresa Palmer', 'Matias Varela']",['Ericson Core'],183417150,267300000,450717150,85000000
The Boss Baby: Family Business,46,89,60,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 47m,2021,"['Alec Baldwin', 'James Marsden', 'Eva Longoria', 'Jeff Goldblum', 'Ariana Greenblatt']",['Tom Mcgrath 3'],285585,600433,886018,0
Smallfoot,76,62,71,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 36m,2018,"['Channing Tatum', 'James Corden', 'Zendaya', 'Common', 'LeBron James']",['Karey Kirkpatrick'],7993039,7966,8001005,0
April Fool's Day,57,47,53,"['Mystery & Thriller', 'Horror']",R,1h 29m,1986,"['Deborah Foreman', ""Griffin O'Neal"", 'Deborah Goodrich', 'Jay Baker', 'Pat Barlow']",['Fred Walton'],333060,0,333060,0
X-Men: Apocalypse,47,65,53,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",PG-13,2h 23m,2016,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Oscar Isaac', 'Nicholas Hoult']",['Bryan Singer'],38362475,113421364,151783839,175000000
The Witch Who Came From the Sea,82,34,66,['Mystery & Thriller'],R,1h 38m,1975,"['Millie Perkins', 'Lonny Chapman', 'Vanessa Brown', 'Peggy Feury', 'Rick Jason']",['Matteo Ottaviano'],829,0,829,0
Demons,33,61,42,['Horror'],,1h 45m,2017,"['John Schneider', 'Andrew Divoff', 'Steven Brand', 'Gary Grubbs', 'Miles Doleac']",['Miles Doleac'],12227722,15744301,27972023,0
Knights of Badassdom,63,38,54,"['Comedy', 'Adventure', 'Fantasy', 'Horror']",R,1h 25m,2014,"['Peter Dinklage', 'Ryan Kwanten', 'Steve Zahn', 'Summer Glau', 'Jimmi Simpson']",['Joe Lynch'],2689252,0,2689252,0
The Interior,100,46,81,"['Comedy', 'Crime', 'Drama', 'Horror', 'Mystery & Thriller']",,1h 20m,2015,"['Ryan Austin', 'Jake Beczala', 'Andrew Hayes', 'Lucas Mailing', 'Patrick McFadden']",['Trevor Juras'],132555,0,132555,0
Mercy,17,39,24,['Mystery & Thriller'],R,1h 35m,1999,"['Ellen Barkin', 'Wendy Crewson', 'Peta Wilson', 'Karen Young', 'Julian Sands']",['Damian Harris'],64167069,72149811,136316880,0
"Fat, Sick & Nearly Dead",69,85,74,['Documentary'],,1h 37m,2010,"['Phil Staples', 'Joe Cross', 'Joe Cross', 'Kurt Engfehr', 'Joe Cross']",['Joe Cross 4'],100489151,0,100489151,0
India: Kingdom of the Tiger,83,64,76,"['Adventure', 'Drama']",,42m,2002,"['Christopher Heyerdahl', 'Bruce Neibaur', 'Afsana Amarsy', 'Goulam Amarsy', 'Ed Capelle']",['Bruce Neibaur'],4055660,3295401,7351061,0
The Girl in the Book,93,55,80,['Drama'],,1h 28m,2015,"['Emily VanCamp', 'Michael Nyqvist', 'David Call', 'Michael Cristofer', 'Talia Balsam']",['Marya Cohn'],31483450,45217209,76700659,15000000
Transformers: Rise of the Beasts,52,91,65,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']",PG-13,2h 7m,2023,"['Anthony Ramos', 'Dominique Fishback', 'Ron Perlman', 'Michelle Yeoh', 'Pete Davidson']",['Steven Caple Jr'],37664,9174,46838,0
Fair Game,12,14,12,"['Action', 'Romance', 'Mystery & Thriller']",R,1h 30m,1995,"['William Baldwin', 'Cindy Crawford', 'Steven Berkoff', 'Christopher McDonald', 'Miguel Sandoval']",['Andrew Sipes'],955,0,955,0
Unknown,55,55,55,"['Mystery & Thriller', 'Drama']",PG-13,1h 53m,2011,"['Liam Neeson', 'Diane Kruger', 'January Jones', 'Aidan Quinn', 'Bruno Ganz']",['Jaume Collet Sera'],56732,0,56732,0
The Manor,62,32,51,"['Horror', 'Mystery & Thriller']",,1h 21m,2021,"['Barbara Hershey', 'Bruce Davison', 'Nicholas Alexander', 'Jill Larson', 'Fran Bennett']",['Axelle Carolyn'],115000000,889,115000889,0
Despicable Me 3,59,53,56,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 30m,2017,"['Steve Carell', 'Kristen Wiig', 'Trey Parker', 'Miranda Cosgrove', 'Dana Gaier']","['Pierre Coffin', 'Kyle Balda']",1208479,0,1208479,0
The Ones Below,76,47,66,['Mystery & Thriller'],R,1h 27m,2015,"['Clémence Poésy', 'David Morrissey', 'Stephen Campbell Moore', 'Laura Birn', 'Deborah Findlay']",['David Farr'],7993039,7966,8001005,0
Clifford,13,67,31,"['Kids & Family', 'Comedy']",PG,1h 29m,1994,"['Martin Short', 'Charles Grodin', 'Mary Steenburgen', 'Dabney Coleman', 'Richard Kind']",['Paul Flaherty'],52853219,16558151,69411370,50000000
The Painted Veil,74,85,77,"['Drama', 'Romance']",PG-13,2h 5m,2006,"['Naomi Watts', 'Ed Norton', 'Liev Schreiber', 'Diana Rigg', 'Zoe Telford']",['John Curran'],95697,0,95697,0
How to Change the World,95,87,92,['Documentary'],,1h 53m,2015,"['Jerry Rothwell', 'Jerry Rothwell', 'Al Morrow', 'Bous De Jong', 'Ben Lichty']",['Jerry Rothwell'],7362439,1940583,9303022,0
The Electrical Life of Louis Wain,69,72,70,"['Biography', 'Drama']",PG-13,1h 51m,2021,"['Sophia Di Martino', 'Benedict Cumberbatch', 'Claire Foy', 'Andrea Riseborough', 'Toby Jones']",['Will Sharpe'],100489151,0,100489151,0
Barfly,76,82,78,"['Comedy', 'Drama']",R,1h 40m,1987,"['Mickey Rourke', 'Faye Dunaway', 'Alice Krige', 'Jack Nance', 'J.C. Quinn']",['Barbet Schroeder'],7993039,7966,8001005,0
Surveillance,55,43,51,"['Mystery & Thriller', 'Crime', 'Drama']",R,1h 37m,2008,"['Julia Ormond', 'Bill Pullman', 'Pell James', 'Ryan Simpkins', 'Cheri Oteri']",['Jennifer Lynch'],56732,0,56732,0
Coming Through the Rye,70,65,68,['Drama'],PG-13,1h 37m,2015,"['Adrian Pasdar', 'Chris Cooper', 'Alex Wolff', 'Stefania Owen', 'Amy Parrish']",['James Steven Sadwith'],2540965,166872,2707837,0
Divine Access,67,50,61,"['Comedy', 'Drama']",,1h 46m,2015,"['Billy Burke', 'Patrick Warburton', 'Joel David Moore', 'Sarah Shahi', 'Dora Madison']",['Steven Chester Prince'],5743,0,5743,0
Johnny Be Good,0,30,10,['Comedy'],R,1h 24m,1988,"['Anthony Michael Hall', 'Robert Downey Jr.', 'Paul Gleason', 'Uma Thurman', 'Steve James']",['Bud Smith'],0,0,0,0
Pawno,78,83,79,[],,2015,2015,"['John Brumpton', 'Maeve Dermody', 'Damian Hill', 'Malcolm Kennard', 'Paul Ireland']",['Paul Ireland'],37664,9174,46838,0
Whiskey Tango Foxtrot,68,54,63,"['Comedy', 'Drama', 'Biography', 'War']",R,1h 51m,2016,"['Tina Fey', 'Margot Robbie', 'Martin Freeman', 'Alfred Molina', 'Christopher Abbott']","['Glenn Ficarra', 'John Requa']",0,0,0,0
Lockout,38,46,40,"['Sci-Fi', 'Action', 'Mystery & Thriller']",PG-13,1h 35m,2012,"['Guy Pearce', 'Maggie Grace', 'Vincent Regan', 'Joseph Gilgun', 'Lennie James']","['James Mather', 'Stephen St Leger']",676407,0,676407,0
The Librarian: Quest for the Spear,60,57,59,"['Action', 'Adventure', 'Fantasy']",TVPG,1h 36m,2004,"['Noah Wyle', 'Kyle MacLachlan', 'Sonya Walger', 'Jane Curtin', 'Kelly Hu']",['Peter Winther'],101648571,135553728,237202299,90000000
Madame X,67,76,70,"['Documentary', 'Music']",,1h 0m,2021,"['Madonna', 'Ricardo Gomes']",['Ricardo Gomes'],5743,0,5743,0
Sound It Out,93,79,88,['Documentary'],,1h 15m,2011,"['Jeanie Finlay', 'Dunstan Bruce', 'Jeanie Finlay', 'Jeanie Finlay', 'Barbara Zosel']",['Jeanie Finlay'],31483450,45217209,76700659,15000000
Zipper: Coney Island's Last Wild Ride,75,90,80,['Documentary'],,1h 17m,2012,"['Amy Nicholson', 'Amy Nicholson', ""Ruben O'Malley"", 'Jerry Risius', 'Mark Schwartzbard']",['Amy Nicholson'],1236408,0,1236408,0
Fanny by Gaslight,50,52,50,['Drama'],,1h 48m,1944,"['Phyllis Calvert', 'James Mason', 'Stewart Granger', 'Wilfrid Lawson', 'Margaretta Scott']",['Anthony Asquith'],35014192,6083661,41097853,8000000
Requiem for the American Dream,92,84,89,['Biography'],,1h 13m,2015,"['Noam Chomsky', 'Peter D. Hutchison', 'Kelly Nyks', 'Jared P. Scott', 'Peter D. Hutchison']","['Peter D Hutchison', 'Kelly Nyks', 'Jared Scott']",50410,0,50410,0
Demon Seed,59,47,54,['Sci-Fi'],R,1h 34m,1977,"['Julie Christie', 'Fritz Weaver', 'Gerrit Graham', 'Berry Kroeger', 'Lisa Lu']",['Donald Cammell'],1208479,0,1208479,0
Looking Glass,21,11,17,['Mystery & Thriller'],R,1h 44m,2018,"['Nicolas Cage', 'Robin Tunney', 'Marc Blucas', 'Ernie Lively', 'Jacque Gray']",['Tim Hunter'],81159365,78649005,159808370,35000000
Embers,83,51,72,['Drama'],,1h 26m,2016,"['Jason Ritter', 'Iva Gocheva', 'Greta Fernández', 'Tucker Smallwood', 'Karl Glusman']",['Claire Carre'],4055660,3295401,7351061,0
Toy Story 4,97,94,95,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",G,1h 40m,2019,"['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale', 'Keegan-Michael Key']",['Josh Cooley'],340726,0,340726,0
The Conductor,100,100,99,"['Documentary', 'Music']",,1h 30m,2021,"['Marin Alsop', 'Marin Alsop', 'Bernadette Wegenstein', 'Stefan Fauland', 'Bernadette Wegenstein']",['Bernadette Wegenstein'],132555,0,132555,0
Paranormal Activity: Next of Kin,30,38,32,"['Horror', 'Mystery & Thriller']",R,1h 38m,2021,"['Emily Bader', 'Roland Buck III', 'Dan Lippert', 'Henry Ayres-Brown', 'Tom Nowicki']",['William Eubank'],57231747,39223950,96455697,37000000
Babes in Toyland,36,59,43,"['Kids & Family', 'Holiday', 'Musical']",,1h 46m,1961,"['Ray Bolger', 'Tommy Sands', 'Annette Funicello', 'Ed Wynn', 'Tommy Kirk']",['Jack Donohue'],0,0,0,0
The Last Time You Had Fun,67,34,56,"['Comedy', 'Drama']",,1h 22m,2014,"['Kyle Bornheimer', 'Eliza Coupe', 'Mary Elizabeth Ellis', 'Demetri Martin', 'Charlyne Yi']",['Mo Perkins'],5743,0,5743,0
Laura,100,90,96,['Mystery & Thriller'],,1h 28m,1944,"['Gene Tierney', 'Dana Andrews', 'Clifton Webb', 'Vincent Price', 'Judith Anderson']",['Otto Preminger'],132555,0,132555,0
Blood: The Last Vampire,50,66,55,"['Horror', 'Action', 'Animation']",,48m,2000,"['Yûki Kudô', 'Saemi Nakamura', 'Joe Romersa', 'Rebecca Forstadt', 'Stuart Robinson']",['Hiroyuki Kitakubo'],35014192,6083661,41097853,8000000
Bag It,100,81,93,"['Documentary', 'Comedy', 'Drama']",,1h 19m,2010,"['Suzan Beraza', 'Michelle Curry Wright`', 'Michelle Hill']",['Suzan Beraza'],132555,0,132555,0
The Magnificent Seven,64,71,66,"['Western', 'Action', 'Adventure']",PG-13,2h 8m,2016,"['Denzel Washington', 'Chris Pratt', 'Ethan Hawke', ""Vincent D'Onofrio"", 'Lee Byung-hun']",['Antoine Fuqua'],470308,0,470308,0
